City,Season,link
کاشان,4,https://fa.wikipedia.org/wiki/%DA%A9%D8%A7%D8%B4%D8%A7%D9%86
میبد,4,https://fa.wikipedia.org/wiki/%D9%85%DB%8C%D8%A8%D8%AF
دالاهو,2,https://fa.wikipedia.org/wiki/%D8%B4%D9%87%D8%B1%D8%B3%D8%AA%D8%A7%D9%86_%D8%AF%D8%A7%D9%84%D8%A7%D9%87%D9%88#%D8%B1%D9%87%E2%80%8C%D8%A2%D9%88%D8%B1%D8%AF%D9%87%D8%A7
خاش,2,https://fa.wikipedia.org/wiki/%D8%AE%D8%A7%D8%B4
جویبار,2,https://fa.wikipedia.org/wiki/%D8%AC%D9%88%DB%8C%D8%A8%D8%A7%D8%B1_(%D9%85%D8%A7%D8%B2%D9%86%D8%AF%D8%B1%D8%A7%D9%86)
آوج,2,https://fa.wikipedia.org/wiki/%D8%A2%D9%88%D8%AC
چالانچولان,2,https://fa.wikipedia.org/wiki/%DA%86%D8%A7%D9%84%D8%A7%D9%86%DA%86%D9%88%D9%84%D8%A7%D9%86
چابکسر,2,https://fa.wikipedia.org/wiki/%DA%86%D8%A7%D8%A8%DA%A9%D8%B3%D8%B1
آبادان,3,https://fa.wikipedia.org/wiki/%D8%A2%D8%A8%D8%A7%D8%AF%D8%A7%D9%86
دیلم,3,https://fa.wikipedia.org/wiki/%D8%B4%D9%87%D8%B1%D8%B3%D8%AA%D8%A7%D9%86_%D8%AF%DB%8C%D9%84%D9%85
صحنه,1,https://fa.wikipedia.org/wiki/%D8%B5%D8%AD%D9%86%D9%87_(%DA%A9%D8%B1%D9%85%D8%A7%D9%86%D8%B4%D8%A7%D9%87)
نائین,1,https://fa.wikipedia.org/wiki/%D8%B4%D9%87%D8%B1%D8%B3%D8%AA%D8%A7%D9%86_%D9%86%D8%A7%D8%A6%DB%8C%D9%86
ماهان,1,https://fa.wikipedia.org/wiki/%D9%85%D8%A7%D9%87%D8%A7%D9%86
تنکابن,3,https://fa.wikipedia.org/wiki/%D8%AA%D9%86%DA%A9%D8%A7%D8%A8%D9%86
تفت,3,https://fa.wikipedia.org/wiki/%D8%AA%D9%81%D8%AA
