SHAHR,MedianSpring,MedianSummer,MedianFall,MedianWinter
رشت,1.83,2.05,1.85,1.50
چالوس,1.65,1.98,1.85,1.44
آمل,1.20,1.20,1.48,1.18
قائمشهر,0.69,0.86,0.80,1.11
سپیدان,0.58,0.65,0.61,0.52
پردیس,0.86,1.28,0.90,0.46
تبریز,0.37,0.47,0.62,0.60
کازرون,0.36,0.39,0.53,0.48
شاندیز,0.35,0.44,0.37,0.37
قم,0.72,0.33,0.63,0.63
صوفیان,0.42,0.33,0.27,0.40
عسلویه,0.25,0.34,0.28,0.26
شهرکرد,0.37,0.45,0.24,0.22
شهرضا,0.48,0.38,0.22,0.35
صالحآباد,0.39,0.21,0.46,0.21
نیریز,0.20,0.21,0.29,0.19
میاندوآب,0.55,0.31,0.26,0.16
زرینشهر,0.29,0.16,0.27,0.31
همدان,0.27,0.53,0.49,0.15
بروجرد,0.26,0.14,0.54,0.44
چناران,0.14,0.40,0.28,0.18
چغادک,0.12,0.28,0.26,0.18
مهاباد,0.30,0.60,0.11,0.37
شوش,0.09,0.40,0.55,0.28
فیروزکوه,0.52,0.80,0.42,0.09
آستارا,0.39,0.39,0.18,0.09
مشهد,0.07,0.05,0.12,0.21
حاجیآباد,0.34,0.30,0.39,0.04
دامغان,0.23,0.23,0.02,0.20
کاشان,-0.00,0.22,0.03,0.67
زنجان,0.10,0.41,0.10,-0.00
بابل,0.01,0.26,0.12,-0.00
بندرامامخمینی,0.13,-0.01,0.20,0.06
باغچه,0.10,-0.05,-0.02,-0.06
ایوانکی,0.07,-0.07,0.15,0.10
ماهان,0.17,0.04,-0.09,0.43
دلیجان,0.59,0.27,0.05,-0.10
مهریز,0.35,0.30,-0.11,-0.12
ایواغلی,0.11,-0.06,0.07,-0.12
هرسین,0.37,0.01,-0.13,0.11
مرودشت,0.03,0.10,0.12,-0.14
ساوه,0.09,0.03,-0.14,-0.08
بیستون,0.31,0.22,-0.04,-0.16
خزرآباد,-0.17,0.10,0.16,-0.06
اسکلآباد,0.26,0.06,-0.18,0.10
ایلخچی,-0.16,-0.18,-0.14,-0.13
کنگاور,-0.02,-0.12,-0.19,-0.02
تربتحیدریه,-0.10,-0.03,-0.21,-0.18
نیشابور,-0.09,0.03,-0.22,-0.04
اردبیل,-0.17,-0.23,-0.20,-0.13
مرند,0.20,0.20,0.05,-0.24
گرگان,-0.17,-0.26,-0.23,-0.10
سلفچگان,-0.20,-0.27,-0.17,-0.01
آبادان,0.05,-0.27,0.07,0.34
اراک,-0.07,-0.08,-0.17,-0.28
بوشهر,-0.15,-0.24,-0.30,-0.29
جم,-0.34,-0.28,-0.25,-0.26
ارومیه,-0.33,-0.36,-0.15,-0.32
بهبهان,-0.17,-0.37,-0.15,-0.05
بجنورد,-0.38,-0.36,-0.32,-0.30
ماهشهر,-0.38,-0.25,-0.38,-0.23
تهران,-0.38,-0.36,-0.27,-0.03
شهریار,-0.21,-0.09,-0.39,-0.11
کرمانشاه,-0.36,-0.40,-0.27,-0.38
ورجان,-0.04,-0.38,-0.40,-0.34
سیرجان,-0.37,-0.41,-0.42,-0.32
شیراز,-0.29,-0.44,-0.47,-0.14
سبزوار,-0.47,-0.34,-0.33,-0.37
ساری,-0.14,-0.52,-0.17,-0.06
برازجان,-0.07,-0.52,0.08,0.08
اندیمشک,-0.32,-0.54,-0.25,0.01
سنندج,-0.47,-0.54,-0.44,-0.56
اهواز,-0.41,-0.49,-0.57,-0.31
کرمان,-0.60,-0.50,-0.49,-0.45
اصفهان,-0.47,-0.60,-0.57,-0.64
یاسوج,-0.31,-0.14,-0.47,-0.64
بیرجند,-0.64,-0.66,-0.43,-0.55
ماهدشت,-0.00,-0.70,-0.31,-0.06
سمنان,-0.72,-0.54,-0.58,-0.48
شاهرود,-0.34,-0.54,-0.72,-0.44
یزد,-0.69,-0.72,-0.31,-0.46
بندرعباس,-0.73,-0.57,-0.05,-0.13
قزوین,-0.90,-0.89,-0.42,-0.69
کرج,-0.96,-1.01,-0.66,-0.58
دماوند,-0.95,-1.36,-1.08,-0.96
رودهن,-1.46,-1.72,-1.72,-1.29
