SHAHR,MedianFarvardin,MedianOrdibehesht,MedianKhordad,MedianTir,MedianMordad,MedianShahrivar,MedianMehr,MedianAban,MedianAzar,MedianDay,MedianBahman,MedianEsfand
چالوس,1.69,1.82,1.60,2.08,1.96,2.22,1.93,1.85,1.67,1.51,1.35,1.56
رشت,0.46,1.95,1.93,1.71,2.24,2.11,1.80,2.05,1.24,1.58,1.31,1.61
سپیدان,0.31,0.65,0.70,0.55,0.70,0.69,0.58,0.66,0.55,0.56,0.39,0.35
کازرون,0.32,0.31,0.47,0.48,0.26,0.39,0.54,0.54,0.53,0.54,0.45,0.43
شهرکرد,0.23,0.43,0.47,0.59,0.45,0.39,0.26,0.31,0.16,0.23,0.17,0.23
شاندیز,0.14,0.35,0.44,0.34,0.38,0.46,0.32,0.33,0.42,0.36,0.36,0.41
نیریز,0.11,0.23,0.27,0.12,0.20,0.42,0.29,0.33,0.25,0.18,0.18,0.21
عسلویه,0.33,0.19,0.25,0.28,0.29,0.45,0.19,0.12,0.37,0.40,0.30,0.11
صوفیان,0.18,0.17,0.65,0.06,0.27,0.54,0.33,0.36,0.18,0.49,0.40,0.43
زرینشهر,0.23,0.38,0.60,0.52,0.03,0.12,0.32,0.20,0.27,0.27,0.37,0.35
چغادک,0.13,0.12,0.41,0.33,0.09,0.40,0.22,0.41,0.17,0.24,0.01,0.24
تبریز,0.01,0.54,0.29,0.64,0.47,0.22,0.32,0.55,0.80,0.46,0.60,0.81
مشهد,-0.00,0.12,0.03,0.27,0.20,0.01,0.12,0.08,0.23,0.28,0.14,-0.01
چناران,0.56,0.01,-0.02,0.61,0.29,0.45,0.19,0.48,0.30,0.05,0.33,0.30
قائمشهر,-0.04,0.94,1.00,0.85,0.86,1.18,0.87,1.22,0.66,1.16,1.07,1.22
مهاباد,0.49,0.23,-0.06,0.71,0.03,0.69,0.06,1.11,0.08,0.43,0.86,0.37
بندرامامخمینی,0.14,0.17,0.11,0.02,-0.07,0.02,0.22,0.24,0.18,0.07,0.02,0.06
حاجیآباد,0.80,0.69,0.25,0.30,0.90,0.27,0.47,0.65,-0.07,0.03,-0.03,0.22
بروجرد,-0.08,0.20,0.30,-0.03,-0.03,0.51,0.43,0.18,0.70,0.42,0.39,0.67
بابل,0.49,-0.05,-0.08,0.24,-0.01,0.50,0.06,0.10,0.24,0.18,-0.11,-0.06
صالحآباد,0.90,0.04,0.19,0.33,0.62,-0.04,0.57,0.52,0.18,0.45,0.02,-0.12
میاندوآب,1.06,0.35,0.20,0.73,0.21,0.14,-0.12,-0.04,0.77,0.04,0.67,0.08
آستارا,0.40,0.38,0.45,0.35,0.64,0.73,0.27,-0.13,0.10,0.09,0.05,0.62
هرسین,0.14,0.13,0.86,1.19,0.01,-0.07,0.01,-0.15,0.18,0.26,0.11,0.20
دلیجان,0.78,0.46,0.59,0.78,0.16,0.09,0.65,-0.07,0.25,0.59,-0.17,-0.14
ایواغلی,0.69,0.33,-0.08,0.10,-0.09,0.01,0.07,0.10,0.37,-0.00,0.27,-0.18
همدان,-0.18,0.33,0.44,0.40,0.53,0.79,0.19,0.73,0.57,0.13,0.10,0.38
آمل,-0.22,1.40,1.20,1.03,1.48,1.31,1.31,1.70,1.52,1.18,1.10,1.60
مرودشت,0.15,0.16,-0.06,0.15,0.09,0.10,0.19,0.12,0.08,-0.14,-0.06,-0.23
باغچه,0.36,0.02,0.10,0.01,-0.25,0.24,0.24,0.02,-0.11,-0.24,0.14,0.04
