SHAHR,Median1398,Median1399,Median1400,Median1401,Median1402,Median1403
عسلویه,0.13,0.28,0.30,0.33,0.28,0.32,0.00,0.00,0.00
تبریز,0.67,0.11,0.49,0.50,0.44,0.75,0.00,0.00,0.00
حاجیآباد,0.33,0.45,0.30,0.25,0.01,0.45,0.00,0.00,0.00
دامغان,0.14,0.21,0.02,0.64,0.05,0.37,0.00,0.00,0.00
رشت,1.61,1.61,1.82,2.15,1.93,0.72,0.00,0.00,0.00
زرینشهر,0.42,0.20,0.45,0.27,0.15,0.06,0.00,0.00,0.00
سپیدان,0.54,0.61,0.72,0.63,0.61,0.39,0.00,0.00,0.00
شاندیز,0.32,0.46,0.51,0.39,0.36,0.27,0.00,0.00,0.00
شهرکرد,0.20,0.33,0.23,0.36,0.42,0.30,0.00,0.00,0.00
شوش,0.51,0.34,0.24,0.73,0.22,0.26,0.00,0.00,0.00
صوفیان,0.26,0.45,0.40,0.51,0.46,0.07,0.00,0.00,0.00
آستارا,0.30,0.77,0.39,0.27,0.18,0.21,0.00,0.00,0.00
فیروزکوه,0.20,0.66,0.95,0.47,0.49,0.42,0.00,0.00,0.00
قائمشهر,0.96,0.88,0.30,0.68,0.80,1.02,0.00,0.00,0.00
قم,0.22,0.54,0.60,0.71,0.85,0.63,0.00,0.00,0.00
مرودشت,0.03,0.16,0.17,0.03,0.09,0.07,0.00,0.00,0.00
مهاباد,0.30,0.65,0.39,0.03,0.40,0.76,0.00,0.00,0.00
همدان,0.22,0.28,0.27,0.53,0.50,0.61,0.00,0.00,0.00
پردیس,1.00,0.88,1.19,0.90,0.06,0.84,0.00,0.00,0.00
چالوس,1.85,1.56,1.90,1.99,1.10,1.27,0.00,0.00,0.00
کازرون,0.43,0.30,0.47,0.43,0.37,0.57,0.00,0.00,0.00
بروجرد,0.09,0.10,0.26,0.55,0.40,0.51,0.00,0.00,0.00
آمل,1.34,1.10,1.09,1.31,1.19,1.48,0.00,0.00,0.00
چغادک,-0.01,0.13,0.46,0.26,0.64,0.28,0.00,0.00,0.00
بندرامامخمینی,0.23,0.12,0.05,0.01,-0.01,0.19,0.00,0.00,0.00
نیریز,0.18,0.23,0.21,0.21,-0.01,0.32,0.00,0.00,0.00
هرسین,0.05,0.01,0.16,-0.01,0.09,0.15,0.00,0.00,0.00
صالحآباد,-0.04,0.19,0.41,0.47,0.32,0.57,0.00,0.00,0.00
مشهد,0.32,0.12,-0.05,0.22,0.01,0.05,0.00,0.00,0.00
دلیجان,0.30,0.13,0.06,0.32,-0.07,0.64,0.00,0.00,0.00
چناران,0.35,0.39,0.43,0.21,0.28,-0.08,0.00,0.00,0.00
کاشان,0.41,0.56,0.40,0.13,-0.10,0.14,0.00,0.00,0.00
