SHAHR,Average
چالوس,1.58
رشت,1.52
آمل,1.23
قائمشهر,0.79
پردیس,0.73
سپیدان,0.52
تبریز,0.51
فیروزکوه,0.49
کازرون,0.44
همدان,0.44
قم,0.42
شاندیز,0.37
بروجرد,0.35
شهرکرد,0.33
حاجیآباد,0.32
صوفیان,0.29
آستارا,0.26
شوش,0.25
عسلویه,0.24
چناران,0.24
صالحآباد,0.24
دامغان,0.24
چغادک,0.23
زرینشهر,0.23
میاندوآب,0.22
مهاباد,0.22
شهرضا,0.21
زنجان,0.19
نیریز,0.19
کاشان,0.18
ماهان,0.16
ایوانکی,0.16
هرسین,0.13
دلیجان,0.13
بندرامامخمینی,0.08
مشهد,0.06
مرند,0.06
مرودشت,0.06
بابل,0.05
اسکلآباد,0.05
مهریز,0.05
ایواغلی,0.04
بیستون,0.03
خزرآباد,0.01
آبادان,-0.02
باغچه,-0.03
ساوه,-0.06
نیشابور,-0.08
تربتحیدریه,-0.10
برازجان,-0.12
ایلخچی,-0.12
شهریار,-0.14
کنگاور,-0.15
اراک,-0.15
اردبیل,-0.16
ساری,-0.16
سلفچگان,-0.17
بهبهان,-0.19
ماهدشت,-0.20
ارومیه,-0.23
بندرعباس,-0.24
گرگان,-0.24
بجنورد,-0.25
ماهشهر,-0.26
جم,-0.26
بوشهر,-0.28
اندیمشک,-0.29
سبزوار,-0.29
تهران,-0.30
ورجان,-0.31
یاسوج,-0.31
شیراز,-0.34
کرمانشاه,-0.34
سیرجان,-0.35
اصفهان,-0.43
اهواز,-0.45
شاهرود,-0.47
کرمان,-0.48
سنندج,-0.48
بیرجند,-0.51
یزد,-0.52
سمنان,-0.56
قزوین,-0.67
کرج,-0.81
دماوند,-1.07
رودهن,-1.51
