SHAHR,Median
رشت,1.71
چالوس,1.7
رودبار,1.56
آمل,1.2
سرایان,0.94
قائمشهر,0.81
پردیس,0.73
بهار,0.68
بابامیدان,0.65
کیاسر,0.63
گرمی,0.62
سپیدان,0.6
میانه,0.56
فیروزکوه,0.54
مشگینشهر,0.52
تبریز,0.51
بیجار,0.5
قم,0.48
خواجه,0.47
قزانچی,0.47
قهاوند,0.46
داران,0.45
بومهن,0.45
فرودگاه,0.43
نور,0.43
دیلم,0.41
ری,0.4
میمه,0.39
سربیشه,0.38
کازرون,0.38
همدان,0.36
دهشیر,0.36
آستانه,0.36
انزلی,0.35
شوش,0.35
محمودآباد,0.34
قوچان,0.33
سعادتشهر,0.33
صفادشت,0.33
شاندیز,0.33
جوکار,0.32
مهاباد,0.32
آزادشهر,0.31
شازند,0.31
زرینشهر,0.31
ملایر,0.29
دهلران,0.29
جمکران,0.28
شیروان,0.28
سفیددشت,0.28
اشتهارد,0.28
آذرشهر,0.28
صوفیان,0.27
اردستان,0.27
سورمق,0.27
نوشهر,0.27
فاروج,0.27
فریمان,0.26
گلوگاه,0.26
حاجیآباد,0.26
چناران,0.25
ایرانشهر,0.25
موچش,0.25
آستارا,0.25
شهرکرد,0.24
گرمسار,0.23
زنجان,0.22
نیر,0.22
اسفراین,0.21
کوار,0.21
نیریز,0.21
آققلا,0.21
بروجرد,0.21
شریفآباد,0.21
الیگودرز,0.2
مورچهخورت,0.2
آغاجاری,0.2
بوئینزهرا,0.2
بجستان,0.2
سرعین,0.2
فریدونکنار,0.2
لردگان,0.2
صالحآباد,0.19
بندررجائی,0.19
کوچصفهان,0.19
لواسانات,0.19
عالیآباد,0.18
عباسآباد,0.18
ملاثانی,0.17
زاهدان,0.17
لاهیجان,0.16
سرابله,0.16
گندمان,0.16
فومن,0.16
میاندوآب,0.16
عسلویه,0.15
مبارکه,0.14
ایواغلی,0.14
تفت,0.14
کاشان,0.13
تایباد,0.13
گناباد,0.13
خمام,0.13
چغادک,0.12
خرمدره,0.12
بستانآباد,0.11
بانه,0.11
انارک,0.11
اسکلآباد,0.1
بیستون,0.09
سرخه,0.09
صحنه,0.09
دلیجان,0.09
تیران,0.08
بندرامامخمینی,0.08
نائین,0.08
رباطکریم,0.08
مرودشت,0.08
بوشکان,0.08
عقدا,0.07
خزرآباد,0.07
بابل,0.06
مشهد,0.06
حسنآباد,0.06
سلماس,0.05
قروه,0.05
شهرضا,0.05
نکا,0.05
ایوانکی,0.05
بابلسر,0.04
فیروزآباد,0.04
باغین,0.04
آشخانه,0.04
مهریز,0.04
ابهر,0.04
گچساران,0.03
هرسین,0.03
آبادان,0.03
بروجن,0.03
چالانچولان,0.02
کامیاران,0.02
نیشابور,0.02
مرند,0.02
کردکوی,0.02
صفاشهر,-0
دامغان,-0.01
شاهینشهر,-0.02
ساوه,-0.03
باغچه,-0.03
جهرم,-0.03
گنبد,-0.04
مراغه,-0.04
ماهان,-0.04
نطنز,-0.04
بهشهر,-0.05
سروستان,-0.06
آباده,-0.07
قائن,-0.07
پلدختر,-0.09
سلفچگان,-0.09
لنگرود,-0.1
اسدآباد,-0.1
اراک,-0.11
نظرآباد,-0.12
بهبهان,-0.13
شهربابک,-0.13
کنگاور,-0.14
اردبیل,-0.15
بناب,-0.15
بوشهر,-0.17
سقز,-0.17
برازجان,-0.18
لار,-0.2
ایلخچی,-0.2
کنگان,-0.21
تربتحیدریه,-0.21
ورجان,-0.22
گرگان,-0.23
پاکدشت,-0.23
تاکستان,-0.23
حمیدیه,-0.24
میبد,-0.24
ارومیه,-0.25
چرمشهر,-0.25
فردوس,-0.25
ماهشهر,-0.26
تهران,-0.26
طبس,-0.26
شهریار,-0.27
شیراز,-0.27
میامی,-0.28
جم,-0.28
خونسرخ,-0.29
ساری,-0.29
اندیمشک,-0.29
بجنورد,-0.3
سبزوار,-0.3
ارسنجان,-0.31
ملارد,-0.32
ملکان,-0.33
ماهدشت,-0.33
سیرجان,-0.34
اسلامشهر,-0.35
بندرعباس,-0.35
جاجرود,-0.35
ایلام,-0.36
کرمانشاه,-0.36
یاسوج,-0.39
قرچک,-0.4
نجفآباد,-0.4
توره,-0.41
فرخشهر,-0.42
کرمان,-0.46
سنندج,-0.47
یزد,-0.48
اصفهان,-0.49
اهواز,-0.5
سمنان,-0.51
بیرجند,-0.53
شاهرود,-0.54
قزوین,-0.72
کرج,-0.88
دماوند,-1.05
امامزادههاشم,-1.11
رودهن,-1.52
منجیل,-1.74
