SHAHR,Average
رودبار,98
چالوس,96
سپیدان,94
کیاسر,93
رشت,93
شاندیز,93
مشگینشهر,92
گرمی,92
آمل,92
ری,90
بهار,87
داران,85
کازرون,84
سرعین,83
فرودگاه,83
دهشیر,83
بومهن,82
سعادتشهر,81
میانه,80
قائمشهر,79
نیریز,79
سربیشه,79
فیروزکوه,78
انزلی,78
تبریز,78
موچش,77
بابامیدان,77
بیجار,76
آغاجاری,75
قزانچی,75
سرایان,74
پردیس,74
فریمان,73
بندررجائی,72
آذرشهر,72
دیلم,72
قهاوند,72
آققلا,71
شازند,71
آستانه,70
جوکار,70
قم,70
همدان,69
شهرکرد,69
اشتهارد,68
میمه,68
صوفیان,68
آستارا,67
حاجیآباد,67
چناران,67
دهلران,67
شوش,67
جمکران,66
اسفراین,66
نور,66
زرینشهر,66
سفیددشت,66
بجستان,66
خواجه,66
قوچان,65
اردستان,65
محمودآباد,64
صفادشت,64
تایباد,64
کوار,64
شیروان,63
عالیآباد,63
خرمدره,63
چغادک,63
مهاباد,63
کوچصفهان,63
ملایر,62
ملاثانی,62
لواسانات,62
مبارکه,62
ایرانشهر,62
لردگان,62
نوشهر,62
گلوگاه,61
گناباد,61
زنجان,61
عسلویه,61
زاهدان,61
گندمان,60
مورچهخورت,60
صالحآباد,60
سورمق,60
بروجرد,60
فاروج,59
شریفآباد,59
گرمسار,59
ایواغلی,59
تفت,58
سرابله,58
بندرامامخمینی,58
بانه,58
لاهیجان,58
میاندوآب,58
بوئینزهرا,58
آزادشهر,57
بستانآباد,57
خمام,57
مرودشت,57
نیر,57
فریدونکنار,57
الیگودرز,56
مشهد,56
فومن,55
نائین,55
دلیجان,55
تیران,54
عباسآباد,54
بوشکان,54
سرخه,54
بابل,54
کاشان,54
بابلسر,53
فیروزآباد,53
اسکلآباد,53
صحنه,53
عقدا,53
خزرآباد,53
بیستون,53
ایوانکی,52
رباطکریم,52
باغین,52
انارک,52
هرسین,52
ابهر,52
نکا,52
گچساران,52
شهرضا,52
مهریز,51
کردکوی,51
بروجن,51
سلماس,51
مرند,51
نیشابور,51
حسنآباد,51
کامیاران,50
آشخانه,50
چالانچولان,50
آبادان,50
صفاشهر,50
قروه,50
دامغان,49
شاهینشهر,49
ماهان,48
ساوه,47
بهشهر,47
گنبد,47
سروستان,47
نطنز,47
سلفچگان,47
اسدآباد,46
جهرم,46
باغچه,45
پلدختر,45
نظرآباد,44
مراغه,44
کنگاور,44
قائن,44
برازجان,43
شهربابک,43
بناب,42
اراک,42
آباده,42
تاکستان,41
لنگرود,40
چرمشهر,40
ملکان,39
لار,38
فردوس,38
حمیدیه,38
میبد,38
ورجان,37
ماهدشت,37
میامی,37
اردبیل,37
ارومیه,36
بندرعباس,36
سقز,36
پاکدشت,35
تربتحیدریه,35
ملارد,34
بهبهان,33
اندیمشک,33
اصفهان,32
کنگان,32
سبزوار,32
نجفآباد,31
ساری,31
بوشهر,31
کرمانشاه,31
شهریار,31
گرگان,30
طبس,30
ایلخچی,30
تهران,29
جاجرود,29
بجنورد,29
ماهشهر,28
قزوین,28
ارسنجان,27
اسلامشهر,27
شاهرود,26
توره,26
شیراز,26
سمنان,25
اهواز,25
سیرجان,25
ایلام,24
یزد,23
یاسوج,21
خونسرخ,20
امامزادههاشم,20
جم,20
کرمان,18
فرخشهر,16
سنندج,11
بیرجند,11
دماوند,10
کرج,10
قرچک,9
رودهن,3
منجیل,3
