Code-mehvar,Name-Mehvar,Ostan,origin,destination,orgin_en,destination_en,filename
113201,‫آزادراه قم - گرمسار (چرمشهر)‬,11 Tehran,‫قم,گرمسار‬,‫GhM,GRMSAR‬,Daily 113201 ‫آزادراه قم - گرمسار (چرمشهر)‬ 
113202,‫شهريار-کرج (هفت جوي)‬,11 Tehran,‫شهريار,کرج‬,‫ShHRIAR,KRJ‬,Daily 113202 ‫شهريار-کرج (هفت جوي)‬ 
113203,‫آزادراه تهران - قم (مجتمع ياس)‬,11 Tehran,‫تهران,قم‬,‫THRAN,GhM‬,Daily 113203 ‫آزادراه تهران - قم (مجتمع ياس)‬ 
113204,‫آزادراه تهران - ساوه (عوارضي تهران)‬,11 Tehran,‫تهران,ساوه‬,‫THRAN,SAVH‬,Daily 113204 ‫آزادراه تهران - ساوه (عوارضي تهران)‬ 
113206,‫آزادراه تهران - پرديس (عوارضي پرديس)‬,11 Tehran,‫تهران,پرديس‬,‫THRAN,PRDIS‬,Daily 113206 ‫آزادراه تهران - پرديس (عوارضي پرديس)‬ 
113207,‫آزادراه تهران - پرديس (بومهن)‬,11 Tehran,‫تهران,پرديس‬,‫THRAN,PRDIS‬,Daily 113207 ‫آزادراه تهران - پرديس (بومهن)‬ 
113208,‫آزادراه ساوه - تهران (رباط کريم-تهران)‬,11 Tehran,‫ساوه,تهران‬,‫SAVH,THRAN‬,Daily 113208 ‫آزادراه ساوه - تهران (رباط کريم-تهران)‬ 
113210,‫آزادراه تهران - قم (عوارضي تهران)‬,11 Tehran,‫تهران,قم‬,‫THRAN,GhM‬,Daily 113210 ‫آزادراه تهران - قم (عوارضي تهران)‬ 
113212,‫امام زاده داوود - تهران‬,11 Tehran,‫امامزادهداوود,تهران‬,‫AMAMZADHDAVVD,THRAN‬,Daily 113212 ‫امام زاده داوود - تهران‬ 
113213,‫تهران - لواسانات (طلائيه)‬,11 Tehran,‫تهران,لواسانات‬,‫THRAN,LVASANAT‬,Daily 113213 ‫تهران - لواسانات (طلائيه)‬ 
113214,‫تهران - لواسانات (سوهانک)‬,11 Tehran,‫تهران,لواسانات‬,‫THRAN,LVASANAT‬,Daily 113214 ‫تهران - لواسانات (سوهانک)‬ 
113228,‫آزادراه تهران - ساوه (پرند)‬,11 Tehran,‫تهران,ساوه‬,‫THRAN,SAVH‬,Daily 113228 ‫آزادراه تهران - ساوه (پرند)‬ 
113249,‫آزادراه تهران- شمال (قطعه اول - محدوده عوارضي تهران)‬,11 Tehran,‫تهران,شمال‬,‫THRAN,ShMAL‬,Daily 113249 ‫آزادراه تهران- شمال (قطعه اول - محدوده عوارضي تهران)‬ 
113251,‫آزادراه گرمسار - قم (چرمشهر)‬,11 Tehran,‫گرمسار,قم‬,‫GRMSAR,GhM‬,Daily 113251 ‫آزادراه گرمسار - قم (چرمشهر)‬ 
113252,‫کرج-شهريار (هفت جوي)‬,11 Tehran,‫کرج,شهريار‬,‫KRJ,ShHRIAR‬,Daily 113252 ‫کرج-شهريار (هفت جوي)‬ 
113253,‫آزادراه قم - تهران (مجتمع ياس)‬,11 Tehran,‫قم,تهران‬,‫GhM,THRAN‬,Daily 113253 ‫آزادراه قم - تهران (مجتمع ياس)‬ 
113256,‫آزادراه پرديس - تهران (عوارضي پرديس)‬,11 Tehran,‫پرديس,تهران‬,‫PRDIS,THRAN‬,Daily 113256 ‫آزادراه پرديس - تهران (عوارضي پرديس)‬ 
113257,‫آزادراه پرديس - تهران (بومهن)‬,11 Tehran,‫پرديس,تهران‬,‫PRDIS,THRAN‬,Daily 113257 ‫آزادراه پرديس - تهران (بومهن)‬ 
113258,‫آزادراه تهران - ساوه (تهران-رباط کريم)‬,11 Tehran,‫تهران,ساوه‬,‫THRAN,SAVH‬,Daily 113258 ‫آزادراه تهران - ساوه (تهران-رباط کريم)‬ 
113262,‫تهران - امام زاده داوود‬,11 Tehran,‫تهران,امامزادهداوود‬,‫THRAN,AMAMZADHDAVVD‬,Daily 113262 ‫تهران - امام زاده داوود‬ 
113263,‫لواسانات - تهران (طلائيه)‬,11 Tehran,‫لواسانات,تهران‬,‫LVASANAT,THRAN‬,Daily 113263 ‫لواسانات - تهران (طلائيه)‬ 
113264,‫لواسانات - تهران (سوهانک)‬,11 Tehran,‫لواسانات,تهران‬,‫LVASANAT,THRAN‬,Daily 113264 ‫لواسانات - تهران (سوهانک)‬ 
113278,‫آزادراه ساوه - تهران(پرند)‬,11 Tehran,‫ساوه,تهران‬,‫SAVH,THRAN‬,Daily 113278 ‫آزادراه ساوه - تهران(پرند)‬ 
