Province,Population
AzarbayjanSharghi,3909652
AzarbayjanGharbi,3265219
Ardabil,1270420
Esfahan,5120850
Alborz,2712400
ilam,580158
Bushehr,1163400
Tehran,13267637
ChaharmahalAndBakhtiari,947763
KhorasanJonoubi,768898
KhorasanRazavi,6434501
KhorasanShomali,863092
Khuzestan,4710509
Zanjan,1057461
Semnan,702360
SistanAndBaluchestan,2775014
Fars,4851274
Qazvin,1273761
Qom,1292283
Kurdistan,1603011
Kerman,3164718
KermanShah,1952434
KohgiluyeAndBoyerahmad,713052
Golestan,1868819
Gilan,2530696
Lorestan,1760649
Mazandaran,3283582
Markazi,1429475
Hormozgan,1776415
Hamedan,1738234
Yazd,1138533
