SHAHR,START,END,PRO-TOURISM
تهران,13971220,13980119,-1.90
تهران,13980119,13980126,0.34
تهران,13980126,13980209,0.29
تهران,13980209,13980216,-0.87
تهران,13980216,13980223,-0.43
تهران,13980223,13980230,-0.62
تهران,13980230,13980320,0.01
تهران,13980320,13980327,0.32
تهران,13980327,13980403,-0.13
تهران,13980403,13980410,-1.03
تهران,13980410,13980417,-0.15
تهران,13980417,13980424,0.24
تهران,13980424,13980431,-0.06
تهران,13980431,13980507,-0.36
تهران,13980507,13980514,-0.28
تهران,13980514,13980604,-0.49
تهران,13980604,13980611,-0.64
تهران,13980611,13980625,-1.89
تهران,13980625,13980701,-0.28
تهران,13980701,13980708,0.03
تهران,13980708,13980715,0.03
تهران,13980715,13980722,0.06
تهران,13980722,13980820,-0.14
تهران,13980820,13980827,-0.16
تهران,13980827,13980904,-0.46
تهران,13980904,13980911,-1.49
تهران,13980911,13980918,-0.06
تهران,13980918,13980925,-0.85
تهران,13980925,13981002,-0.17
تهران,13981002,13981009,-1.22
تهران,13981009,13981016,0.84
تهران,13981016,13981023,0.62
تهران,13981023,13981030,-0.45
تهران,13981030,13981114,0.16
تهران,13981114,13981128,0.25
تهران,13981128,13981205,-0.61
تهران,13981205,13981212,0.33
تهران,13981212,13990125,-0.15
تهران,13990125,13990201,-0.38
تهران,13990201,13990208,-0.75
تهران,13990208,13990215,-0.64
تهران,13990215,13990229,0.30
تهران,13990229,13990319,-1.53
تهران,13990319,13990402,0.86
تهران,13990402,13990409,-0.08
تهران,13990409,13990416,-0.54
تهران,13990416,13990423,-0.06
تهران,13990423,13990430,0.09
تهران,13990430,13990513,0.15
تهران,13990513,13990520,-1.26
تهران,13990520,13990527,0.12
تهران,13990527,13990603,-0.81
تهران,13990603,13990610,-0.97
تهران,13990610,13990617,1.03
تهران,13990617,13990624,-0.33
تهران,13990624,13990631,-0.89
تهران,13990631,13990707,-0.65
تهران,13990707,13990721,-0.24
تهران,13990721,13990728,-1.00
تهران,13990728,13990819,-0.39
تهران,13990819,13990826,-0.22
تهران,13990826,13990903,-0.49
تهران,13990903,13990910,0.37
تهران,13990910,13990917,-0.33
تهران,13990917,13990924,-0.26
تهران,13990924,13991001,0.01
تهران,13991001,13991008,0.09
تهران,13991008,13991015,0.12
تهران,13991015,13991022,0.07
تهران,13991022,13991106,-1.17
تهران,13991106,13991113,-0.86
تهران,13991113,13991127,0.01
تهران,13991127,13991204,-0.01
تهران,13991204,13991211,-1.13
تهران,13991211,13991218,-0.38
تهران,13991218,14000116,0.35
تهران,14000116,14000123,1.17
تهران,14000123,14000130,0.35
تهران,14000130,14000206,0.01
تهران,14000206,14000227,-0.13
تهران,14000227,14000303,-0.34
تهران,14000303,14000310,-0.27
تهران,14000310,14000324,-1.02
تهران,14000324,14000331,-0.83
تهران,14000331,14000407,-0.12
تهران,14000407,14000414,0.16
تهران,14000414,14000421,0.05
تهران,14000421,14000511,-0.39
تهران,14000511,14000518,-0.26
تهران,14000518,14000601,-0.76
تهران,14000601,14000608,0.65
تهران,14000608,14000615,0.55
تهران,14000615,14000622,-0.13
تهران,14000622,14000629,-0.49
تهران,14000629,14000719,-0.73
تهران,14000719,14000726,0.17
تهران,14000726,14000810,-0.39
تهران,14000810,14000817,0.00
تهران,14000817,14000824,-0.45
تهران,14000824,14000901,-0.12
تهران,14000901,14000908,-0.52
تهران,14000908,14000915,-0.58
تهران,14000915,14000922,-0.32
تهران,14000922,14000929,-0.65
تهران,14000929,14001006,-0.71
تهران,14001006,14001013,-0.25
تهران,14001013,14001020,-0.43
تهران,14001020,14001027,0.34
تهران,14001027,14001104,0.09
تهران,14001104,14001111,0.12
تهران,14001111,14001118,-0.43
تهران,14001118,14001202,-0.03
تهران,14001202,14001216,-0.37
تهران,14001216,14001223,0.14
تهران,14001223,14010108,-1.01
تهران,14010108,14010122,0.80
تهران,14010122,14010129,-0.06
تهران,14010129,14010219,-0.76
تهران,14010219,14010226,-0.58
تهران,14010226,14010302,-0.63
تهران,14010302,14010309,-0.54
تهران,14010309,14010323,-0.80
تهران,14010323,14010330,-0.41
تهران,14010330,14010406,-0.54
تهران,14010406,14010413,-0.40
تهران,14010413,14010503,-0.88
تهران,14010503,14010510,-0.26
تهران,14010510,14010524,-1.48
تهران,14010524,14010531,-0.46
تهران,14010531,14010607,-0.74
تهران,14010607,14010614,-0.15
تهران,14010614,14010621,-0.28
تهران,14010621,14010628,-1.55
تهران,14010628,14010718,-0.70
تهران,14010718,14010725,0.63
تهران,14010725,14010802,-0.35
تهران,14010802,14010809,-0.13
تهران,14010809,14010816,-0.85
تهران,14010816,14010823,-0.93
تهران,14010823,14010830,-0.39
تهران,14010830,14010907,-0.21
تهران,14010907,14010914,-0.10
تهران,14010914,14010921,-0.21
تهران,14010921,14010928,0.10
تهران,14010928,14011012,-0.34
تهران,14011012,14011019,-0.90
تهران,14011019,14011026,-0.05
تهران,14011026,14011103,0.29
تهران,14011103,14011110,0.49
تهران,14011110,14011208,0.29
تهران,14011208,14011222,-0.34
تهران,14011222,14020107,0.11
تهران,14020107,14020128,1.51
تهران,14020128,14020211,-0.88
تهران,14020211,14020218,-0.51
تهران,14020218,14020301,-0.62
تهران,14020301,14020308,-0.35
تهران,14020308,14020322,-0.86
تهران,14020322,14020329,-0.15
تهران,14020329,14020412,-0.34
تهران,14020412,14020419,0.02
تهران,14020419,14020509,-0.44
تهران,14020509,14020516,-0.46
تهران,14020516,14020523,0.01
تهران,14020523,14020530,-0.58
تهران,14020530,14020606,-0.33
تهران,14020606,14020627,-0.64
تهران,14020627,14020717,0.08
تهران,14020717,14020724,-0.51
تهران,14020724,14020801,-0.09
تهران,14020801,14020808,-0.48
تهران,14020808,14020815,-0.51
تهران,14020815,14020822,-0.54
تهران,14020822,14020829,-0.26
تهران,14020829,14020906,-0.62
تهران,14020906,14020913,-0.04
تهران,14020913,14020920,-0.57
تهران,14020920,14021004,-0.47
تهران,14021004,14021011,-0.10
تهران,14021011,14021018,-0.15
تهران,14021018,14021025,-0.54
تهران,14021025,14021102,0.10
تهران,14021102,14021109,-0.77
تهران,14021109,14021116,0.14
تهران,14021116,14021130,-0.22
تهران,14021130,14021214,-0.04
تهران,14021214,14021221,0.10
تهران,14021221,14030127,-1.47
تهران,14030127,14030203,-0.09
تهران,14030203,14030210,-0.38
تهران,14030210,14030224,-0.47
تهران,14030224,14030231,-0.46
تهران,14030231,14030307,-0.57
تهران,14030307,14030321,-1.15
تهران,14030321,14030411,0.34
تهران,14030411,14030418,-0.58
تهران,14030418,14030501,-1.53
تهران,14030501,14030508,-0.20
تهران,14030508,14030515,-0.17
تهران,14030515,14030522,-0.31
تهران,14030522,14030529,-0.20
تهران,14030529,14030619,-0.68
تهران,14030619,14030626,-0.48
تهران,14030626,14030709,-0.87
تهران,14030709,14030716,-0.89
تهران,14030716,14030723,-0.35
تهران,14030723,14030730,-0.21
تهران,14030730,14030807,-0.20
تهران,14030807,14030814,-0.07
تهران,14030814,14030821,-0.55
تهران,14030821,14030828,-0.19
تهران,14030828,14030905,0.08
تهران,14030905,14030912,-0.41
تهران,14030912,14030919,-0.27
تهران,14030919,14030926,0.04
تهران,14030926,14031003,-0.63
تهران,14031003,14031010,0.17
تهران,14031010,14031017,0.34
تهران,14031017,14031101,-0.12
تهران,14031101,14031115,-0.02
تهران,14031115,14031129,-0.26
تهران,14031129,14031206,0.51
زنجان,13971220,13980119,1.63
زنجان,13980119,13980126,-0.61
زنجان,13980126,13980209,0.13
زنجان,13980209,13980216,0.07
زنجان,13980216,13980223,-0.18
زنجان,13980223,13980230,-0.14
زنجان,13980327,13980403,0.10
زنجان,13980403,13980410,0.41
زنجان,13980410,13980417,-0.20
زنجان,13980424,13980431,-0.25
زنجان,13980431,13980507,-0.06
زنجان,13980507,13980514,0.21
زنجان,13980514,13980604,0.61
زنجان,13980604,13980611,0.00
زنجان,13980611,13980625,1.05
زنجان,13980625,13980701,0.27
زنجان,13980701,13980708,0.25
زنجان,13980708,13980715,0.05
زنجان,13980715,13980722,-0.10
زنجان,13980722,13980820,0.44
زنجان,13980820,13980827,0.18
زنجان,13980827,13980904,-0.22
زنجان,13980904,13980911,-0.17
زنجان,13980911,13980918,-0.24
زنجان,13980918,13980925,-0.21
زنجان,13980925,13981002,-0.10
زنجان,13981002,13981009,0.34
زنجان,13981009,13981016,-0.11
زنجان,13981016,13981023,0.00
زنجان,13981023,13981030,-0.15
زنجان,13981030,13981114,0.39
زنجان,13981114,13981128,-0.02
زنجان,13981128,13981205,0.37
زنجان,13981205,13981212,-0.66
زنجان,13981212,13990125,0.83
زنجان,13990125,13990201,-0.46
زنجان,13990201,13990208,0.57
زنجان,13990208,13990215,0.09
زنجان,13990215,13990229,0.24
زنجان,13990229,13990319,1.69
زنجان,13990319,13990402,0.37
زنجان,13990402,13990409,1.29
زنجان,13990409,13990416,0.76
زنجان,13990416,13990423,0.33
زنجان,13990423,13990430,-0.04
زنجان,13990430,13990513,0.65
زنجان,13990513,13990520,1.61
زنجان,13990520,13990527,-0.25
زنجان,13990527,13990603,-0.12
زنجان,13990603,13990610,1.96
زنجان,13990610,13990617,-0.34
زنجان,13990617,13990624,0.99
زنجان,13990624,13990631,1.51
زنجان,13990631,13990707,0.68
زنجان,13990707,13990721,0.31
زنجان,13990721,13990728,0.62
زنجان,13990728,13990819,0.74
زنجان,13990819,13990826,-1.11
زنجان,13990826,13990903,0.31
زنجان,13990903,13990910,1.69
زنجان,13990910,13990917,0.59
زنجان,13990917,13990924,0.04
زنجان,13990924,13991001,-0.28
زنجان,13991001,13991008,0.56
زنجان,13991008,13991015,-0.29
زنجان,13991015,13991022,-0.91
زنجان,13991022,13991106,0.82
زنجان,13991106,13991113,0.53
زنجان,13991113,13991127,0.29
زنجان,13991127,13991204,-0.34
زنجان,13991204,13991211,0.54
زنجان,13991211,13991218,0.01
زنجان,13991218,14000116,2.15
زنجان,14000116,14000123,-1.02
زنجان,14000123,14000130,-0.54
زنجان,14000130,14000206,0.93
زنجان,14000206,14000227,-0.35
زنجان,14000303,14000310,-0.19
زنجان,14000310,14000324,1.34
زنجان,14000324,14000331,0.84
زنجان,14000331,14000407,-0.62
زنجان,14000414,14000421,1.41
زنجان,14000511,14000518,-0.45
